id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
610,Example 2,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.33,0.23,5.782608695652174,99.38,99.1,Not available,69,0.6,,,28.07,CP calculated assuming kf = 100,1.45,,,,,,
611,Example 3,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.94,1.24,1.564516129032258,97.49,96,Not available,69,0.6,,,27.25,CP calculated assuming kf = 100,1.62,,,,,,
612,Example 4,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.83,0.29,9.758620689655173,99.48,99.1,Not available,69,0.6,,,28.07,CP calculated assuming kf = 100,1.75,,,,,,
613,Example 5,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,11.44,0.27,42.37037037037037,99.66,99.25,Not available,69,0.6,,,28.11,CP calculated assuming kf = 100,2.21,,,,,,
614,Example 6,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,2.87,0.13,22.076923076923077,99.77,99.6,Not available,69,0.6,,,28.2,CP calculated assuming kf = 100,1.75,,,,,,
615,Example 7,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.13,0.96,1.1770833333333333,97.27,96.2,Not available,69,0.6,,,27.3,CP calculated assuming kf = 100,1.39,,,,,,
616,Example 8,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.18,0.5,2.36,98.58,98,Not available,69,0.6,,,27.78,CP calculated assuming kf = 100,1.42,,,,,,
617,Example 9,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.31,1.3,1.7769230769230768,97.6,96,Not available,69,0.6,,,27.25,CP calculated assuming kf = 100,1.69,,,,,,
618,Example 10,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,5.95,6.89,0.8635703918722787,92.33,84,Not available,69,0.6,,,24.02,CP calculated assuming kf = 100,2.09,,,,,,
619,Example 11,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.13,4.2,0.26904761904761904,89.94,86,Not available,69,0.6,,,24.56,CP calculated assuming kf = 100,1.46,,,,,,
620,Example 12,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,3.03,1.73,1.7514450867052023,97.19,95,Not available,69,0.6,,,26.98,CP calculated assuming kf = 100,1.82,,,,,,
621,Example 13,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.37,0.31,7.645161290322581,99.4,99,Not available,69,0.6,,,28.04,CP calculated assuming kf = 100,1.68,,,,,,
622,Example 14,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing temperature,,No,3.43,0.17,20.176470588235293,99.73,99.5,Not available,69,0.6,,,28.18,CP calculated assuming kf = 100,1.83,,,,,,
623,Example 15,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,6.25,0.49,12.755102040816327,99.33,98.63,Not available,69,0.6,,,27.95,CP calculated assuming kf = 100,2.06,,,,,,
624,Example 16,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,Other,Post-treatment: oxidation,,No,1.2,0.12,10,99.67,99.53,Not available,69,0.6,,,28.18,CP calculated assuming kf = 100,1.42,,,,,,
625,0% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,No modification,,,No,1.58,0.26,6.076923076923077,99.38,99.31,Cross-flow,55.15,0.56,,,26.13,As reported,1.12,,,,,28.6,
626,0.5% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.4,0.34,7.058823529411764,99.43,99.33,Cross-flow,55.15,0.56,,,26.14,As reported,1.17,,,,,28.6,
627,0.75% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.59,0.3,8.633333333333333,99.52,99.43,Cross-flow,55.15,0.56,,,26.16,As reported,1.18,,,,,28.6,
631,1% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.79,0.3,9.3,99.55,99.46,Cross-flow,55.15,0.56,,,26.17,As reported,1.19,,,,,28.6,
632,1.25% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.7,0.3,9.000000000000002,99.54,99.45,Cross-flow,55.15,0.56,,,26.17,As reported,1.19,,,,,28.6,
633,1.5% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.7,0.32,8.4375,99.51,99.42,Cross-flow,55.15,0.56,,,26.16,As reported,1.19,,,,,28.6,
634,2% o-ABA-TEA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.41,0.35,6.885714285714286,99.42,99.32,Cross-flow,55.15,0.56,,,26.14,As reported,1.17,,,,,28.6,
635,0% IPA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.78,0.31,8.96774193548387,99.53,99.44,Cross-flow,55.15,0.56,,,26.17,As reported,1.19,,,,,28.6,
636,25% IPA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.97,0.33,9,99.53,99.43,Cross-flow,55.15,0.56,,,26.16,As reported,1.21,,,,,28.6,
637,40% IPA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,3.26,0.37,8.81081081081081,99.51,99.4,Cross-flow,55.15,0.56,,,26.16,As reported,1.22,,,,,28.6,
638,50% IPA,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,3.58,0.47,7.617021276595746,99.42,99.28,Cross-flow,55.15,0.56,,,26.13,As reported,1.24,,,,,28.6,
639,30s AA Drying Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,3.31,0.4,8.275,99.48,99.36,Cross-flow,55.15,0.56,,,26.15,As reported,1.23,,,,,28.6,
640,45s AA Drying Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,3.25,0.37,8.783783783783784,99.51,99.4,Cross-flow,55.15,0.56,,,26.16,As reported,1.22,,,,,28.6,
641,60s AA Drying Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,3.09,0.35,8.82857142857143,99.52,99.42,Cross-flow,55.15,0.56,,,26.16,As reported,1.21,,,,,28.6,
642,75s AA Drying Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,2.93,0.34,8.617647058823529,99.52,99.42,Cross-flow,55.15,0.56,,,26.16,As reported,1.2,,,,,28.6,
643,4min HC Removal Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing time,,No,2.4,0.24,10,99.59,99.52,Cross-flow,55.15,0.56,,,26.19,As reported,1.17,,,,,28.6,
644,5min HC Removal Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing time,,No,2.77,0.29,9.551724137931036,99.56,99.48,Cross-flow,55.15,0.56,,,26.18,As reported,1.19,,,,,28.6,
646,6min HC Removal Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing time,,No,3.23,0.39,8.282051282051281,99.48,99.37,Cross-flow,55.15,0.56,,,26.15,As reported,1.22,,,,,28.6,
647,7min HC Removal Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing time,,No,3.26,0.4,8.149999999999999,99.48,99.37,Cross-flow,55.15,0.56,,,26.15,As reported,1.22,,,,,28.6,
648,8min HC Removal Time,10.1016/j.memsci.2013.12.066,Novel reverse osmosis membranes incorporated with a hydrophilic additive for seawater desalination,2014,Zhao,Polymeric TFC,,Polyamide,,Other,Post-treatment: curing time,,No,2.97,0.39,7.615384615384616,99.45,99.34,Cross-flow,55.15,0.56,,,26.14,As reported,1.21,,,,,28.6,
649,2 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.35,0.21,11.190476190476192,99.68,99.14,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
650,5 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.45,0.25,9.8,99.63,98.97,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
651,8 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.07,0.27,7.666666666666665,99.53,98.9,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
652,10 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.03,0.25,8.12,99.56,98.97,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
653,20 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.68,0.3,5.6,99.36,98.71,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
654,30 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.25,0.31,4.032258064516129,99.1,98.49,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
655,40 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.47,0.45,1.0444444444444443,96.67,95.98,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
656,50 ALD cycles,10.1021/acs.est.8b03967,Controlled TiO2 Growth on Reverse Osmosis and Nanofiltration Membranes by Atomic Layer Deposition: Mechanisms and Potential Applications,2018,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.19,0.47,0.4042553191489362,91.75,91.13,Cross-flow,27.58,0.046,,,2.1,Not available,1.43,,,,,,
662,60L-6bar,10.1016/j.apsusc.2004.11.068,Polyelectrolyte multilayer membranes for desalination of aqueous salt solutions and seawater under reverse osmosis conditions,2005,Toutianoush,Polymeric TFC,,Other,Polyelectrolytes (polyvinylamine + polyvinylsulfate),No modification,,,No,1.98,1.97,1.0050761421319796,84.92,83.45,Dead-end,6,0.01,,,0.37,CP calculated assuming kf = 100,1.12,,,,,36.8,7.6
663,60L-12bar,10.1016/j.apsusc.2004.11.068,Polyelectrolyte multilayer membranes for desalination of aqueous salt solutions and seawater under reverse osmosis conditions,2005,Toutianoush,Polymeric TFC,,Other,Polyelectrolytes (polyvinylamine + polyvinylsulfate),No modification,,,No,1.84,2.5,0.736,89.46,87.29,Dead-end,12,0.01,,,0.39,CP calculated assuming kf = 100,1.24,,,,,36.8,7.6
664,60L-20bar,10.1016/j.apsusc.2004.11.068,Polyelectrolyte multilayer membranes for desalination of aqueous salt solutions and seawater under reverse osmosis conditions,2005,Toutianoush,Polymeric TFC,,Other,Polyelectrolytes (polyvinylamine + polyvinylsulfate),No modification,,,No,1.89,2.53,0.7470355731225297,93.54,90.94,Dead-end,20,0.01,,,0.4,CP calculated assuming kf = 100,1.44,,,,,36.8,7.6
665,60L-30bar,10.1016/j.apsusc.2004.11.068,Polyelectrolyte multilayer membranes for desalination of aqueous salt solutions and seawater under reverse osmosis conditions,2005,Toutianoush,Polymeric TFC,,Other,Polyelectrolytes (polyvinylamine + polyvinylsulfate),No modification,,,No,1.91,2.24,0.8526785714285713,96.15,93.46,Dead-end,30,0.01,,,0.41,CP calculated assuming kf = 100,1.75,,,,,36.8,7.6
666,60L-40bar,10.1016/j.apsusc.2004.11.068,Polyelectrolyte multilayer membranes for desalination of aqueous salt solutions and seawater under reverse osmosis conditions,2005,Toutianoush,Polymeric TFC,,Other,Polyelectrolytes (polyvinylamine + polyvinylsulfate),No modification,,,No,1.82,2.2,0.8272727272727273,97,94.07,Dead-end,40,0.01,,,0.42,CP calculated assuming kf = 100,2.04,,,,,36.8,7.6
667,A-HT-0,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,Polymeric TFC,,Polyamide,,No modification,,SEM,No,3.3,0.36,9.166666666666666,99.18,98.74,Cross-flow,15.5,0.034,0.00000491,3.92e-10,1.49,CP calculated assuming kf = 100,1.55,393,74.8,67.2,12525.510204081633,,
668,A-HT-0.01,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM,No,3.53,0.37,9.54054054054054,99.21,98.75,Cross-flow,15.5,0.034,0.00000521,4e-10,1.49,CP calculated assuming kf = 100,1.59,390,71.3,64.2,13025,,
669,A-HT-0.025,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM,No,3.69,0.38,9.710526315789473,99.22,98.74,Cross-flow,15.5,0.034,0.00000523,3.95e-10,1.49,CP calculated assuming kf = 100,1.62,374,64.5,63.6,13240.506329113925,,
670,A-HT-0.05,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM;FTIR;TEM,No,3.98,0.62,6.419354838709677,98.82,98.75,Cross-flow,15.5,0.034,0.00000536,6.09e-10,1.49,CP calculated assuming kf = 100,1.06,355,62.9,63.6,8801.313628899838,,
671,A-HT-0.075,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM,No,4.12,0.7,5.885714285714286,98.71,98.04,Cross-flow,15.5,0.034,0.00000529,6.61e-10,1.49,CP calculated assuming kf = 100,1.52,339,61.9,63.8,8003.02571860817,,
672,A-HT-0.1,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM,No,4.09,0.85,4.811764705882353,98.42,97.81,Cross-flow,15.5,0.034,0.00000471,7.21e-10,1.47,CP calculated assuming kf = 100,1.39,304,57.8,63.1,6532.593619972261,,
673,A-HT-0.125,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,aminosilane-modified hydrotalcite,Synthesis: additives,,SEM,No,3.58,0.47,7.617021276595746,99,97.34,Cross-flow,15.5,0.034,0.00000366,3.56e-10,1.49,CP calculated assuming kf = 100,2.66,270,55.9,63.6,10280.898876404495,,
674,HT-0.05,10.1039/c9ra10826b,Development of high-performance mixed matrix reverse osmosis membranes by incorporating aminosilane-modified hydrotalcite,2020,Tian,TFN / Hybrid,,Polyamide;Other,hydrotalcite,Synthesis: additives,,SEM;FTIR;TEM,No,3.99,0.5,7.98,99.05,98.41,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.68,,,60.2,10280.898876404495,,
675,CA-2%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Cellulose acetate,,Synthesis: monomers,,PALS;SEM,No,1.03,6.41,0.1606864274570983,89.49,83.14,Dead-end,55.15,0.034,,,1.26,CP calculated assuming kf = 100,1.6,,,55.3,,,
676,CA-2.5%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Cellulose acetate,,Synthesis: monomers,,PALS;SEM,No,0.24,0.25,0.96,98.07,97.81,Dead-end,55.15,0.034,,,1.48,CP calculated assuming kf = 100,1.14,,,55.3,,,
677,CA-3%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Cellulose acetate,,Synthesis: monomers,,PALS;SEM,No,0.15,0.28,0.5357142857142857,96.71,96.44,Dead-end,55.15,0.034,,,1.46,CP calculated assuming kf = 100,1.09,,,55.3,,,
678,CA-5%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Cellulose acetate,,Synthesis: monomers,,PALS;SEM,No,0.08,0.08,1,98.11,98.03,Dead-end,55.15,0.034,,,1.48,CP calculated assuming kf = 100,1.04,,,55.3,,,
679,ACE16-0.3%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Other,Acetylated cellulose ether,Synthesis: monomers,,PALS;SEM,No,1.81,13.55,0.13357933579335793,87.5,73.06,Dead-end,55.15,0.034,,,1.1,CP calculated assuming kf = 100,2.16,,,58.1,,,
680,ACE16-0.5%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Other,Acetylated cellulose ether,Synthesis: monomers,,PALS;SEM,No,0.22,0.28,0.7857142857142857,97.65,97.37,Dead-end,55.15,0.034,,,1.47,CP calculated assuming kf = 100,1.12,,,58.1,,,
681,ACE16-1%,10.1016/j.memsci.2012.10.043,Preparation and characterization of novel acetylated cellulose ether (ACE) membranes for desalination applications,2013,Han,Polymeric TFC,,Other,Acetylated cellulose ether,Synthesis: monomers,,PALS;SEM,No,0.04,0.02,2,99.31,99.29,Dead-end,55.15,0.034,,,1.5,CP calculated assuming kf = 100,1.02,,,58.1,,,
